century	word	freq_normal
17	aromatic	0.00576694
17	foul	0.00464721
17	send	0.00414224
17	scented	0.00392269
17	stinke	0.00360068
17	snuff	0.00289811
17	sauour	0.00288347
17	vapour	0.00283956
17	fragrancy	0.00279565
17	perfumes	0.0027371
17	effluvia	0.00251023
17	aroma	0.00245168
17	olfactory	0.00231995
17	noysome	0.00220285
17	stunk	0.0021809
17	smelleth	0.00215162
17	noisome	0.00210039
17	noxious	0.00205648
17	aromatize	0.00195403
17	aromatical	0.00184425
17	aromaticall	0.00174911
17	odorate	0.0017052
17	stank	0.00151492
17	confume	0.00133928
17	stincke	0.00132464
17	fweet	0.00124414
17	odore	0.00118559
17	effluvium	0.00105386
17	sapour	0.00103922
17	fmel	0.00093676
17	nauseous	0.00092212
17	infufe	0.00090749
17	whiff	0.00086358
17	smels	0.00085626
17	offensive	0.00082698
17	nose	0.00081235
17	stinketh	0.00076844
17	savor	0.00076112
17	stinck	0.00069525
17	stinch	0.00068793
17	ferous	0.00065866
17	sweet	0.0006367
17	ing	0.00060743
17	odorem	0.00057816
17	perfumer	0.00057084
17	snuffe	0.00057084
17	odorife	0.00056352
17	sulphur	0.00054888
17	nostril	0.00054157
17	fragrance	0.00050497
17	vapours	0.00049034
17	spice	0.0004757
17	exhalation	0.0004757
17	infufion	0.0004757
17	obnoxious	0.00045374
17	odo	0.00043911
17	stin	0.00042447
17	florid	0.00042447
17	fmelt	0.00040983
17	viscous	0.00040251
17	taste	0.00037324
17	aromata	0.00037324
17	strew	0.00036592
17	fetor	0.0003586
17	odori	0.0003586
17	pestiferous	0.00035129
17	stenche	0.00033665
17	faetid	0.00032933
17	fetids	0.00032933
17	emanation	0.00032201
17	aromatise	0.00031469
17	confufe	0.00031469
17	aromaticus	0.00030737
17	incense	0.00030006
17	garlick	0.00030006
17	stanch	0.00029274
17	stincking	0.00028542
17	vapor	0.00028542
17	riferous	0.00028542
17	smoak	0.0002781
17	sent	0.0002781
17	odorable	0.00026346
17	candour	0.00024883
17	nerve	0.00024883
17	feculent	0.00024883
17	drink	0.00024151
17	dour	0.00024151
17	whiffing	0.00023419
17	fent	0.00023419
17	pungent	0.00023419
17	foetid	0.00023419
17	inodorous	0.00022687
17	effeminate	0.00021223
17	olfactus	0.00021223
17	aromatique	0.00020492
17	loathsome	0.00020492
17	fuliginous	0.0001976
17	breathe	0.00019028
17	spicy	0.00019028
17	perfum	0.00019028
17	oderiferous	0.00019028
17	frigid	0.00019028
17	pretious	0.00018296
17	fragran	0.00018296
17	aromaticke	0.00017564
17	odoratory	0.00016832
17	odourable	0.00016832
17	odoriserous	0.00016101
17	ness	0.00016101
17	foule	0.00016101
17	fece	0.00016101
17	prefume	0.00015369
17	ftinke	0.00015369
17	splendour	0.00014637
17	faetor	0.00014637
17	fectious	0.00014637
17	exhale	0.00014637
17	intoxicate	0.00014637
17	olfactive	0.00014637
17	odorament	0.00013905
17	vour	0.00013905
17	oyntment	0.00013905
17	musick	0.00013905
17	noysom	0.00013905
17	corrupt	0.00013905
17	vigour	0.00013173
17	meek	0.00013173
17	aromatics	0.00013173
17	odeur	0.00013173
17	odorant	0.00013173
17	liquour	0.00013173
17	vifcous	0.00013173
17	smelles	0.00012441
17	sente	0.00012441
17	superfluous	0.00012441
17	stunke	0.00012441
17	putrifye	0.00012441
17	fragrancie	0.0001171
17	filthy	0.0001171
17	putrifie	0.0001171
17	fetide	0.0001171
17	perfe	0.0001171
17	fauour	0.00010978
17	parfume	0.00010978
17	embalm	0.00010978
17	unsavory	0.00010978
17	poysonous	0.00010978
17	savours	0.00010978
17	smelly	0.00010978
17	imell	0.00010978
17	fetidness	0.00010246
17	stinche	0.00010246
17	inferiour	0.00010246
17	odoure	0.00010246
17	odorifferous	0.00010246
17	theperfume	0.00010246
17	horrour	0.00010246
17	acrid	0.00010246
17	smokie	0.00010246
17	stanke	0.00010246
17	lour	0.00010246
17	fmelleth	0.00010246
17	intolerable	9.514e-05
17	virulent	9.514e-05
17	caustick	9.514e-05
17	tast	8.782e-05
