secolo	parola	freq_normal
18	tast bitter	0.00011937
18	sweet savors	0.00011937
18	eate	0.00011937
18	drinke	0.00011937
18	eated	0.00011937
18	sipping	0.00011937
19	eat	0.14910423
19	taste	0.14113514
19	drink	0.08645556
19	sweet	0.07964069
19	delicious	0.04140111
19	bitter	0.03712551
19	disgusting	0.02232147
19	sour	0.02049481
19	eating	0.01989261
19	eaten	0.01872836
19	drank	0.01559693
19	flavour	0.01558689
19	disgust	0.01557686
19	drinking	0.01466352
19	seasoned	0.01341898
19	stale	0.01310784
19	flavor	0.01306770
19	ate	0.01290711
19	dainty	0.01287700
19	pungent	0.01094997
19	palatable	0.01071912
19	savoury	0.01029759
19	tasted	0.01011693
19	insipid	0.01006674
19	relish	0.00814975
19	partake	0.00812967
19	juicy	0.00715612
19	tasteless	0.00667436
19	tastes	0.00662418
19	drunk	0.00637326
19	season	0.00634315
19	savory	0.00593165
19	indigestible	0.00497817
19	flavoured	0.00454660
19	acid	0.00449641
19	unpalatable	0.00444623
19	tasting	0.00443619
19	bitterness	0.00421539
19	sweetness	0.00420535
19	eats	0.00388418
19	sweeter	0.00382396
19	sweetened	0.00356300
19	tastefully	0.00351282
19	flavored	0.00349275
19	sharp	0.00287048
19	sower	0.00286044
19	sweeten	0.00280022
19	tasteful	0.00268982
19	rank	0.00257941
19	appetizing	0.00243890
19	delicacy	0.00242887
19	drinks	0.00241883
19	savour	0.00236865
19	unsavoury	0.00235861
19	rancid	0.00229839
19	digestible	0.00211773
19	flavouring	0.00203744
19	unsavory	0.00200733
19	seasoning	0.00183670
19	eat up	0.00179656
19	acidity	0.00175641
19	spicy	0.00174637
19	savor	0.00166608
19	tasty	0.00161590
19	flavoring	0.00160586
19	partook	0.00158579
19	tart	0.00153560
19	relished	0.00151553
19	toothsome	0.00145531
19	mellow	0.00145531
19	bitter taste	0.00125458
19	delectable	0.00107392
19	insipidity	0.00106388
19	distasteful	0.00097355
19	soured	0.00094344
19	disgusted	0.00093341
19	partaking	0.00089326
19	partaken	0.00084308
19	salt	0.00081297
19	sweetest	0.00073267
19	drink out	0.00070256
19	relishing	0.00067245
19	smack	0.00063231
19	unsweetened	0.00062227
19	eateth	0.00061223
19	sourness	0.00059216
19	flavors	0.00057209
19	delicacies	0.00056205
19	saltness	0.00053194
19	sweets	0.00052190
19	eat out	0.00051187
19	pungency	0.00050183
19	bitters	0.00049180
19	appetising	0.00048176
19	drink up	0.00048176
19	piquant	0.00047172
19	flavours	0.00046169
19	tast	0.00043158
19	eate	0.00042154
19	eaten up	0.00038139
19	deliciously	0.00036132
19	flavourless	0.00036132
19	drinke	0.00035128
19	the taste	0.00034125
19	racy	0.00034125
19	sweetening	0.00034125
19	smelt	0.00033121
19	sweet taste	0.00033121
19	drinketh	0.00032117
19	flavorless	0.00031114
19	relishes	0.00029106
19	delicious flavour	0.00029106
19	swallowed	0.00029106
19	ate up	0.00028103
19	distaste	0.00028103
19	uninteresting	0.00028103
19	sweete	0.00025092
19	sweet savour	0.00024088
19	a taste	0.00023084
19	pungent taste	0.00022081
19	palatial	0.00022081
19	fill	0.00021077
19	drink off	0.00021077
19	rancidity	0.00020073
19	good	0.00020073
19	savoured	0.00020073
19	dainties	0.00020073
19	sapid	0.00019070
19	savours	0.00019070
19	souring	0.00019070
19	savouring	0.00018066
19	swete	0.00018066
19	palatability	0.00017062
19	sour taste	0.00017062
19	acid taste	0.00016059
19	out	0.00016059
19	drank off	0.00016059
19	delicious flavor	0.00016059
19	bittersweet	0.00016059
19	disgusts	0.00015055
19	sharpness	0.00014051
19	devoured	0.00014051
19	piquante	0.00014051
19	drunke	0.00014051
19	drunken	0.00014051
19	unsatisfying	0.00013048
19	drinking out	0.00013048
19	sweet savor	0.00013048
19	loathsome	0.00012044
19	palateable	0.00012044
19	disgustful	0.00012044
19	smacked	0.00012044
19	delicious taste	0.00012044
19	eat off	0.00012044
19	d	0.00012044
19	eating up	0.00012044
19	soure	0.00012044
19	taste sweet	0.00011040
19	sweetish	0.00011040
19	bitter flavour	0.00011040
19	drank up	0.00011040
19	gust	0.00011040
19	bitterest	0.00011040
19	flavorous	0.00011040
19	salty	0.00011040
19	sowre	0.00011040
19	partakes	0.00010037
19	savored	0.00010037
19	sourest	0.00010037
19	tartness	0.00010037
19	bitter sweet	0.00009033
19	taste bitter	0.00009033
19	eaten sour	0.00009033
19	taste good	0.00009033
19	swéet	0.00009033
19	drunk out	0.00008029
19	flavourings	0.00008029
19	acid flavour	0.00008029
19	uneaten	0.00008029
19	foretaste	0.00008029
19	savors	0.00008029
19	savorless	0.00008029
19	off	0.00008029
19	quaff	0.00008029
19	sourer	0.00008029
19	rancour	0.00008029
19	poignant	0.00008029
19	bitterer	0.00008029
19	insipid taste	0.00007026
19	pungent flavour	0.00007026
19	palatably	0.00007026
19	satiety	0.00007026
19	taster	0.00007026
19	up	0.00007026
19	sauour	0.00007026
19	piquancy	0.00007026
19	tastelessness	0.00007026
19	palatableness	0.00007026
19	sweetens	0.00007026
19	sours	0.00007026
19	disgustingly	0.00007026
19	bittered	0.00006022
19	sup	0.00006022
19	drank out	0.00006022
19	sharp taste	0.00006022
19	sip	0.00006022
19	' d	0.00006022
19	ate out	0.00006022
19	smacking	0.00006022
19	savoriness	0.00006022
19	gusty	0.00006022
19	sweetnesse	0.00006022
19	sweetned	0.00006022
19	eatable	0.00006022
19	savant	0.00006022
19	exquisite	0.00006022
19	relishable	0.00006022
19	savouries	0.00006022
19	staler	0.00006022
19	sweet flavour	0.00005018
19	rank flavour	0.00005018
19	drinkest	0.00005018
19	sipping	0.00005018
19	sweet flavor	0.00005018
19	dined	0.00005018
19	salutary	0.00005018
19	drinking off	0.00005018
19	smacks	0.00005018
19	sourish	0.00005018
19	sweetener	0.00005018
19	partaken of	0.00004015
19	sharper	0.00004015
19	delicious eating	0.00004015
19	delicious sweet	0.00004015
19	dainty taste	0.00004015
19	drinked	0.00004015
19	eaten out	0.00004015
19	drinking up	0.00004015
19	season '	0.00004015
19	surfeit	0.00004015
19	eating out	0.00004015
19	rankness	0.00004015
19	sauory	0.00004015
19	taste insipid	0.00004015
19	swallow	0.00004015
19	tasteth	0.00004015
19	fastidious	0.00004015
19	tasted sweet	0.00004015
19	pungent flavor	0.00004015
19	tastes bitter	0.00004015
19	bitter flavor	0.00004015
19	peppery	0.00004015
19	daintiest	0.00004015
19	tastes sweet	0.00004015
19	juicy sweet	0.00004015
19	delicat	0.00004015
19	deliciousness	0.00004015
19	savourer	0.00004015
19	drinkable	0.00004015
19	sowring	0.00004015
19	pulpy	0.00004015
19	pungente	0.00004015
19	sapless	0.00004015
19	ing	0.00004015
19	hotness	0.00004015
19	drinking stale	0.00003011
19	eating indigestible	0.00003011
19	eating stale	0.00003011
19	swallowing	0.00003011
19	sweet juicy	0.00003011
19	consumed	0.00003011
19	meaty	0.00003011
19	season ' d	0.00003011
19	unpleasant	0.00003011
19	tang	0.00003011
19	quaffing	0.00003011
19	dranke	0.00003011
19	fishy	0.00003011
19	tasters	0.00003011
19	delightful	0.00003011
19	sauor	0.00003011
19	tastier	0.00003011
19	drinking sour	0.00003011
19	flavorings	0.00003011
19	tart taste	0.00003011
19	eats up	0.00003011
19	bitternesse	0.00003011
19	drink sour	0.00003011
